File Name,day4test,,,,,
Created By User,admin,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,8/29/2013 2:49:16 PM UTC -07:00,,,,,
Run Ended,8/29/2013 4:15:02 PM UTC -07:00,,,,,
Sample Vol,25,,,,,
Lid Temp,105,,,,,
Protocol File Name,entero 1a taqman.prcl,,,,,
Plate Setup File Name,qPCR trainingHF183.pltd,,,,,
Base Serial Number,CT005460,,,,,
Optical Head Serial Number,785BR7906,,,,,
CFX Manager Version,3.0.1224.1015. ,,,,,
,,,,,,
Well group,Top,,,,,
Amplification step,4,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
A1,FAM,hf183,Unkn,Sew Spike 1,23.27,
A2,FAM,hf183,Unkn,Sew Spike 1,23.27,
A3,FAM,hf183,Unkn,Sew Spike 1,23.27,
A4,FAM,hf183,Unkn,Sew Spike 2,23.27,
A5,FAM,hf183,Unkn,Sew Spike 2,23.27,
A6,FAM,hf183,Unkn,Sew Spike 2,23.27,
A7,FAM,hf183,Unkn,Sew Spike 3,23.27,
A8,FAM,hf183,Unkn,Sew Spike 3,23.27,
A9,FAM,hf183,Unkn,Sew Spike 3,23.27,
A10,FAM,hf183,Unkn,Sew Spike 4,23.27,
A11,FAM,hf183,Unkn,Sew Spike 4,23.27,
A12,FAM,hf183,Unkn,Sew Spike 4,23.27,
B1,FAM,hf183,Unkn,Sew Spike 5,23.27,
B2,FAM,hf183,Unkn,Sew Spike 5,23.27,
B3,FAM,hf183,Unkn,Sew Spike 5,23.27,
B4,FAM,hf183,Unkn,Sew Spike 6,23.27,
B5,FAM,hf183,Unkn,Sew Spike 6,23.27,
B6,FAM,hf183,Unkn,Sew Spike 6,23.27,
B7,FAM,hf183,Neg Ctrl,NEC1,N/A,N/A
B8,FAM,hf183,Neg Ctrl,NEC1,N/A,N/A
B9,FAM,hf183,Neg Ctrl,NEC1,N/A,N/A
B10,FAM,hf183,Neg Ctrl,NEC2,N/A,N/A
B11,FAM,hf183,Neg Ctrl,NEC2,N/A,N/A
B12,FAM,hf183,Neg Ctrl,NEC2,N/A,N/A
C1,FAM,hf183,Std-01,HF183 Std,25.95,1.00E+06
C2,FAM,hf183,Std-01,HF183 Std,24.3,1.00E+06
C3,FAM,hf183,Std-01,HF183 Std,24.3,1.00E+06
C4,FAM,hf183,Std-02,HF183 Std,30.57,1.00E+05
C5,FAM,hf183,Std-02,HF183 Std,30.57,1.00E+05
C6,FAM,hf183,Std-02,HF183 Std,N/A,1.00E+05
C7,FAM,hf183,Std-03,HF183 Std,N/A,1.00E+04
C8,FAM,hf183,Std-03,HF183 Std,N/A,1.00E+04
C9,FAM,hf183,Std-03,HF183 Std,N/A,1.00E+04
C10,FAM,hf183,Std-04,HF183 Std,N/A,1.00E+03
C11,FAM,hf183,Std-04,HF183 Std,N/A,1.00E+03
C12,FAM,hf183,Std-04,HF183 Std,N/A,1.00E+03
D1,FAM,hf183,Std-05,HF183 Std,N/A,1.00E+02
D2,FAM,hf183,Std-05,HF183 Std,N/A,1.00E+02
D3,FAM,hf183,Std-05,HF183 Std,N/A,1.00E+02
D4,FAM,hf183,Std-06,HF183 Std,N/A,1.00E+01
D5,FAM,hf183,Std-06,HF183 Std,N/A,1.00E+01
D6,FAM,hf183,Std-06,HF183 Std,N/A,1.00E+01
D7,FAM,hf183,NTC,NTC,N/A,N/A
D8,FAM,hf183,NTC,NTC,N/A,N/A
